numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,328462,328462,1.0
0,1,70075,328462,0.2133427915557964
0,2,346,328462,0.001053394304363975
0,3,0,328462,0.0
1,0,438694,438694,1.0
1,1,72331,438694,0.1648780243176337
1,2,177,438694,0.00040347030048279664
2,0,196314,196314,1.0
2,1,24253,196314,0.12354187678922543
2,2,23,196314,0.00011715924488319733
3,0,34537,34537,1.0
3,1,2964,34537,0.08582100356139792
3,2,3,34537,8.68633639285404e-05
4,0,1993,1993,1.0
4,1,96,1993,0.0481685900652283
4,2,0,1993,0.0
