seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1800,0,131,118,114,159,0,"[12, 0, 15, 11]","[0, 12, 0, 0]","[13, 11, 0, 0]","[11, 11, 12, 0]","[12, 11, 0, 11]","[10, 0, 13, 0]","[10, 10, 11, 0]","[10, 0, 11, 11]","[10, 11, 11, 0]","[0, 10, 11, 10]","[10, 0, 10, 10]","[11, 11, 0, 10]","[10, 11, 0, 13]","[14, 10, 0, 0]","[0, 0, 11, 11]","[12, 12, 13, 0]","[14, 0, 0, 0]","[0, 0, 0, 13]","[0, 11, 0, 14]"
1801,0,79,140,144,150,1,"[13, 0, 13, 11]","[13, 0, 0, 0]","[13, 12, 0, 12]","[11, 11, 13, 0]","[0, 13, 10, 12]","[11, 0, 11, 11]","[12, 10, 10, 0]","[11, 0, 10, 10]","[10, 11, 0, 10]","[10, 0, 10, 11]","[0, 0, 11, 10]","[0, 11, 11, 10]","[12, 0, 10, 0]","[11, 0, 10, 11]","[0, 11, 10, 13]","[11, 0, 0, 0]","[0, 0, 11, 11]","[0, 0, 0, 0]","[12, 0, 0, 12]"
1802,3,161,68,195,131,2,"[0, 10, 0, 14]","[13, 12, 0, 11]","[12, 11, 11, 14]","[13, 11, 0, 13]","[0, 11, 12, 0]","[10, 0, 13, 11]","[0, 10, 10, 10]","[0, 10, 11, 11]","[11, 10, 0, 11]","[10, 10, 0, 10]","[0, 10, 0, 11]","[0, 0, 0, 10]","[11, 0, 11, 12]","[12, 11, 0, 0]","[0, 11, 0, 10]","[14, 11, 0, 11]","[13, 12, 0, 11]","[12, 0, 0, 12]","[0, 11, 0, 13]"
1803,2,139,145,103,126,3,"[0, 10, 0, 10]","[13, 11, 13, 0]","[11, 13, 12, 0]","[0, 0, 12, 0]","[0, 11, 0, 12]","[12, 0, 10, 10]","[14, 0, 10, 10]","[11, 12, 10, 0]","[10, 10, 0, 11]","[0, 10, 10, 10]","[0, 0, 10, 0]","[10, 0, 11, 10]","[11, 0, 13, 10]","[0, 12, 11, 0]","[11, 0, 10, 10]","[0, 10, 0, 0]","[11, 13, 0, 0]","[12, 12, 0, 0]","[0, 15, 13, 10]"
1804,1,176,96,119,158,0,"[0, 14, 10, 11]","[0, 13, 0, 0]","[14, 10, 0, 11]","[12, 11, 0, 11]","[11, 13, 11, 0]","[0, 0, 11, 0]","[0, 0, 10, 0]","[10, 11, 0, 10]","[10, 10, 10, 0]","[10, 10, 0, 10]","[10, 0, 11, 10]","[11, 11, 0, 10]","[10, 11, 0, 11]","[13, 11, 11, 0]","[11, 11, 11, 0]","[12, 13, 0, 10]","[13, 11, 11, 0]","[11, 0, 0, 15]","[0, 16, 0, 10]"
1805,2,114,153,97,136,1,"[0, 12, 13, 0]","[12, 0, 11, 13]","[13, 0, 0, 0]","[12, 0, 13, 11]","[0, 0, 11, 0]","[12, 0, 0, 0]","[10, 11, 11, 0]","[10, 11, 11, 0]","[12, 0, 10, 0]","[10, 0, 10, 11]","[10, 12, 10, 10]","[0, 10, 11, 12]","[0, 10, 0, 13]","[10, 10, 0, 12]","[0, 0, 10, 0]","[0, 11, 11, 0]","[0, 13, 10, 15]","[12, 14, 0, 0]","[13, 0, 11, 0]"
1806,0,157,117,88,160,2,"[14, 0, 12, 14]","[12, 0, 0, 11]","[0, 13, 0, 0]","[11, 13, 0, 0]","[12, 10, 0, 0]","[12, 10, 0, 0]","[0, 0, 0, 10]","[0, 0, 0, 10]","[10, 10, 11, 0]","[11, 10, 0, 10]","[10, 11, 11, 10]","[10, 10, 11, 0]","[0, 0, 0, 0]","[10, 10, 12, 0]","[11, 12, 12, 0]","[13, 11, 11, 12]","[12, 12, 11, 0]","[0, 13, 14, 11]","[12, 12, 12, 0]"
1807,1,148,146,104,108,3,"[0, 10, 0, 13]","[13, 12, 12, 0]","[0, 0, 13, 0]","[10, 0, 12, 0]","[11, 0, 0, 0]","[11, 0, 10, 0]","[0, 11, 0, 11]","[0, 11, 10, 10]","[10, 10, 10, 0]","[10, 10, 10, 0]","[11, 10, 0, 11]","[11, 10, 0, 10]","[0, 10, 10, 0]","[11, 11, 13, 0]","[0, 11, 11, 11]","[10, 0, 0, 13]","[0, 12, 11, 13]","[0, 10, 12, 12]","[0, 10, 12, 0]"
1808,0,126,145,75,150,0,"[12, 12, 0, 0]","[11, 0, 13, 0]","[10, 12, 13, 0]","[10, 0, 0, 0]","[10, 13, 0, 0]","[11, 11, 0, 11]","[10, 0, 10, 0]","[10, 0, 10, 0]","[12, 10, 10, 0]","[0, 10, 11, 10]","[11, 0, 0, 0]","[0, 11, 11, 10]","[11, 10, 0, 0]","[10, 12, 0, 11]","[0, 0, 12, 12]","[11, 13, 12, 0]","[11, 0, 12, 0]","[0, 0, 14, 11]","[0, 12, 17, 10]"
1809,3,122,109,134,129,1,"[12, 14, 0, 11]","[12, 0, 11, 15]","[0, 10, 0, 0]","[14, 11, 11, 0]","[0, 11, 0, 0]","[12, 0, 10, 11]","[0, 10, 0, 10]","[0, 10, 11, 10]","[11, 0, 11, 10]","[10, 10, 0, 10]","[0, 10, 0, 0]","[11, 0, 11, 11]","[11, 0, 11, 11]","[0, 0, 10, 0]","[12, 13, 0, 0]","[12, 0, 13, 12]","[0, 12, 0, 10]","[12, 0, 0, 0]","[0, 11, 10, 13]"
